Country,Place,Name,Price,Tax,Stars,Distance,Number_of_review,Sustainable_level,Discount,Free_Breakfast,is_Prepayment,is_NotablePlace,is_Free_Cancel,is_Sold_Out,Point
Viet Nam,Hà Nội,"Rosee Apartment Hotel - Prestige Suites in Cau Giay district, Hanoi city, Vietnam",978120.0,0.0,,6.7,27,3,False,False,True,False,True,False,8.9
Viet Nam,Hà Nội,May De Ville Premier Hotel & Spa,1553047.0,0.0,4.0,0.8,270,3,False,True,False,False,False,False,9.0
Viet Nam,Hà Nội,Meritel Hanoi,1875201.0,0.0,4.0,0.7,709,3,False,False,False,False,False,False,9.3
Viet Nam,Hà Nội,The West Hotel & Spa,999000.0,0.0,3.0,0.7,826,3,True,True,False,False,False,True,8.9
Viet Nam,Hà Nội,LeaH Silk Hotel,1959435.0,0.0,4.0,0.5,636,1,False,True,False,False,False,False,9.1
Viet Nam,Hà Nội,The Euphoria Hanoi,722700.0,0.0,4.0,4.7,244,3,False,False,True,False,True,False,8.4
Viet Nam,Hà Nội,Romantique Hotel De Hanoi,843512.0,0.0,4.0,0.9,204,0,False,True,False,False,False,False,9.1
Viet Nam,Hà Nội,Canvas Cau Giay Apartments,741680.0,0.0,,5.5,60,0,False,False,False,False,False,False,8.0
Viet Nam,Hà Nội,Mia Casa by Satori,1280000.0,0.0,3.0,1.0,62,3,False,True,True,False,True,True,8.6
Viet Nam,Hà Nội,The Galaxy Home Hotel & Apartment,1440000.0,0.0,4.0,6.7,204,2,True,False,False,False,False,False,8.9
Viet Nam,Hà Nội,Western Skyline Hotel,1181151.0,0.0,4.0,7.9,155,0,False,True,False,False,False,False,9.2
Viet Nam,Hà Nội,The Bloom Hanoi,929857.0,0.0,,7.0,381,3,False,True,False,False,False,False,9.1
Viet Nam,Hà Nội,Aurora Premium Hotel & Spa,1403585.0,0.0,4.0,0.5,258,2,False,True,False,False,False,False,8.8
Viet Nam,Hà Nội,La Sinfonía del Rey Hotel & Spa,1481953.0,0.0,4.0,0.4,832,2,False,True,False,False,False,False,9.3
Viet Nam,Hà Nội,Hanoi Lakeside Premium Hotel & Travel,660000.0,0.0,3.0,0.5,387,0,False,False,True,False,True,True,8.6
Viet Nam,Hà Nội,Hanoi La Selva Central Hotel & Spa,642195.0,0.0,3.0,0.5,388,3,False,True,False,False,False,False,8.8
Viet Nam,Hà Nội,Grand Dragon Hotel Hanoi,744731.0,0.0,4.0,5.3,116,2,False,False,False,False,False,False,7.8
Viet Nam,Hà Nội,Lucky Central Hotel & Travel,525000.0,0.0,3.0,0.5,27,3,True,False,True,False,True,True,8.2
Viet Nam,Hà Nội,Hanoi Center Silk Classic Hotel & Travel,788800.0,0.0,3.0,0.9,917,3,True,False,True,True,True,False,8.8
Viet Nam,Hà Nội,Alisa Hotel & Spa,810000.0,0.0,4.0,0.5,407,3,True,False,False,True,False,True,8.3
Viet Nam,Hà Nội,22Land Residence Hotel & Spa 52 Ngo Huyen,606720.0,0.0,4.0,0.45,456,0,True,False,True,True,True,False,8.1
Viet Nam,Hà Nội,Hanoi E Central Luxury Hotel & Restaurant,945000.0,0.0,4.0,0.5,229,0,True,True,False,True,False,True,9.3
Viet Nam,Hà Nội,Beryl Palace Hotel and Spa,912500.0,0.0,4.0,0.8,695,2,True,True,True,True,True,False,8.6
Viet Nam,Hà Nội,Madelise Palace Hotel & Spa,594000.0,0.0,4.0,0.9,92,3,False,False,False,False,False,True,9.2
Viet Nam,Hà Nội,Golden Sail Hotel & Spa,1105000.0,0.0,4.0,0.9,686,0,False,True,True,True,True,False,8.7
Viet Nam,Hà Nội,Hanoi Sena Hotel - Former Symphony Hanoi Hotel,560000.0,0.0,3.0,0.6,73,0,False,False,False,True,False,True,8.9
Viet Nam,Hà Nội,Classy Holiday Hotel & Spa,823099.0,0.0,4.0,0.9,692,0,False,True,False,False,False,False,8.4
Viet Nam,Hà Nội,Hanoi Siva Luxury Hotel & Travel,825000.0,0.0,4.0,1.0,696,3,True,True,False,True,False,True,9.1
Viet Nam,Hà Nội,Rising Dragon Estate Hotel,233100.0,0.0,3.0,0.8,895,0,False,False,True,False,True,True,7.7
Viet Nam,Hà Nội,L'Heritage Hotel Hanoi,1417500.0,0.0,4.0,1.0,411,3,False,True,True,False,True,True,9.3
Viet Nam,Hà Nội,HanoiOi Hotel,931500.0,0.0,4.0,0.5,526,3,False,True,False,False,False,True,9.1
Viet Nam,Hà Nội,Hanoi Center Silk Boutique Hotel & Travel,857500.0,0.0,4.0,0.5,521,3,True,False,True,True,True,True,9.0
Viet Nam,Hà Nội,Flora Centre Hotel & Spa,972000.0,0.0,4.0,0.7,932,3,False,True,False,False,False,False,9.1
Viet Nam,Hà Nội,Hanoi Lake View Hotel & Spa,600000.0,0.0,4.0,0.5,170,3,False,True,False,True,False,True,9.4
Viet Nam,Hà Nội,Golden Sun Hotel Trendy,905280.0,0.0,,0.45,308,2,True,False,True,False,True,False,9.3
Viet Nam,Hà Nội,Beryl Signature Hotel & Travel,810000.0,0.0,4.0,0.6,204,3,True,False,False,True,False,False,9.4
Viet Nam,Hà Nội,22Housing luxury Hotel & Residence 39 Linh Lang,647680.0,0.0,,4.4,190,1,True,False,True,True,True,False,8.5
Viet Nam,Hà Nội,MIA HOTEL,382500.0,0.0,4.0,5.4,115,0,False,False,False,False,False,True,7.7
